filename,bucket,correctness,expected,topCigarId,topBrand,topLine,confidence,visionBrand,visionLine,visionConfidence,usedSwap,latencyMs,candidateCount,top5,error
band-0161d19ab3a8.jpg,ambiguous,,,pdr-el-trovador-maduro-robusto,PDR,El Trovador Maduro Robusto,0.632,LA AROMA DE CUBA,,0.9,false,10722,15,"PDR El Trovador Maduro Robusto:0.63 | PDR El Trovador Rosado:0.62 | PDR El Trovador Rosado:0.62 | PDR El Trovador Rosado Gran Toro:0.62 | PDR El Trovador Rosado Petit Belicoso:0.62",
band-01a76517bea0.jpg,auto-match,,,angelenos-by-god-of-fire-double-robusto,God of Fire,Double,0.99,God of Fire,Double Robusto,1,false,4327,15,"God of Fire Double:0.99 | God of Fire Robusto:0.99 | God of Fire God of Fire:0.98 | God of Fire By Carlito:0.98 | God of Fire By Carlito:0.98",
band-01cf1b076898.jpg,ambiguous,,,gurkha-park-avenue,Gurkha,Park Avenue,0.771,HIT RUN,,0.9,false,9907,15,"Gurkha Park Avenue:0.77 | Camacho Pre-Embargo Toro:0.77 | La Instructora Delicado Churchill:0.59 | La Instructora Delicado Corona:0.59 | La Instructora Delicado Presidente:0.59",
band-01db8aecfbe8.jpg,auto-match,,,cao-brazilia,CAO,Brazilia,0.99,CAO,BRAZILIA BOX-PRESS,0.9,false,6115,15,"CAO Brazilia:0.99 | CAO Brazilia Box Pressed:0.98 | CAO Brazilia Cariocas:0.98 | CAO Brazilia Chango:0.98 | CAO Brazilia TAA Exclusive 2019:0.98",
band-02c5edd09590.jpg,ambiguous,,,cao-arcana-stokk-belicoso,CAO,Arcana Stokk,0.673,MIXTEC,,0.9,false,9639,10,"CAO Arcana Stokk:0.67 | G.A.R. By George Rico:0.67 | G.A.R. Red By George Rico:0.67 | CAO Black Frontier:0.58 | Private Stock:0.58",
band-0301b034dec8.jpg,auto-match,,,diamond-crown-julius-caeser,Diamond Crown,Julius Caeser,0.99,DIAMOND CROWN,JULIUS CAESER,1,false,5261,15,"Diamond Crown Julius Caeser:0.99 | Diamond Crown Julius Caeser:0.99 | Diamond Crown Julius Caeser:0.99 | Diamond Crown Diamond Crown:0.98 | Diamond Crown Julius Caeser #1895:0.98",
band-03070e9d9249.jpg,ambiguous,,,rocky-patel-vintage-1990,Rocky Patel,Vintage 1990,0.842,Rocky Patel,Vintage 1990,1,false,11655,15,"Rocky Patel Vintage 1990:0.84 | Rocky Patel Vintage 1990:0.84 | Rocky Patel Vintage 1990:0.84 | Rocky Patel Vintage 1990:0.84 | Rocky Patel Vintage 1990:0.84",
band-03592a1a0d2f.jpg,auto-match,,,dunbarton-tobacco-trust-sin-compromiso,Dunbarton Tobacco & Trust,Sin Compromiso,0.99,Dunbarton Tobacco & Trust,Sin Compromiso,0.9,false,9823,15,"Dunbarton Tobacco & Trust Sin Compromiso:0.99 | Dunbarton Tobacco & Trust Sin Compromiso:0.99 | Dunbarton Tobacco & Trust Sin Compromiso:0.99 | Dunbarton Tobacco & Trust Sin Compromiso:0.99 | Dunbarton Tobacco & Trust Sin Compromiso:0.99",
band-068dd44ca959.jpg,auto-match,,,highclere-castle-senetjer-perfecto,Highclere Castle,Senetjer Perfecto,0.98,Highclere Castle,,1,false,8956,15,"Highclere Castle Senetjer Perfecto:0.98 | Foundation Cigar Co. Highclere Castle:0.98 | Highclere Castle Victorian:0.98 | Highclere Castle Edwardian:0.98 | Highclere Castle Victorian:0.98",
band-06aea6f31f18.jpg,auto-match,,,drew-estate-factory-smokes,Drew Estate,Factory Smokes,0.99,Drew Estate,Factory Smoke,1,false,10912,15,"Drew Estate Factory Smokes:0.99 | Drew Estate Factory Smokes CT. Shade:0.99 | Drew Estate Factory Smokes Sweet:0.99 | Drew Estate Factory Smokes Shade:0.99 | Drew Estate Factory Smokes Sun Grown:0.99",
band-0722dcd121c1.jpg,auto-match,,,curivari-buenaventura,Curivari,Buenaventura,0.953,SEMILLA CUBANA,BUENAVENTURA,0.9,true,9545,15,"Curivari Buenaventura:0.95 | Curivari Buenaventura Pralines:0.76 | Curivari Buenaventura Maduro:0.76 | Curivari Buenaventura Cremas:0.76 | Curivari Buenaventura Dimensiones:0.76",
band-077d89a92cb5.jpg,auto-match,,,montecristo-white-series-belicoso,Montecristo,White Series,0.99,Montecristo,White Series,1,false,10759,15,"Montecristo White Series:0.99 | Montecristo White Series:0.99 | Montecristo White Series:0.99 | La Aroma de Cuba Connecticut:0.89 | La Aroma de Cuba Connecticut:0.89",
band-091c38586d27.jpg,auto-match,,,cohiba-connecticut-toro-6-5-52,Cohiba,Connecticut,0.99,COHIBA,CONNECTICUT,1,false,8955,15,"Cohiba Connecticut:0.99 | Cohiba Connecticut Robusto Crystal Tubo:0.99 | Cohiba Connecticut Rob Tubo:0.89 | Cohiba Nicaragua N54 Toro:0.88 | Cohiba Red Dot Toro Tube:0.75",
band-0968bfaa9fa2.jpg,auto-match,,,camacho-limited-edition-2025,Camacho,Limited Edition 2025,0.99,CINCO DE MAYO,Limited Edition 2025,1,false,4802,15,"Camacho Limited Edition 2025:0.99 | Cavalier Genève Limited Edition 2025:0.99 | Rojas Street Tacos Cinco De Mayo 2026 Limited Edition:0.84 | Crowned Heads Blood Medicine Limited Edition 2025:0.76 | Crowned Heads Blood Medicine Limited Edition 2025 Gordo:0.76",
band-0aab938c7809.jpg,auto-match,,,my-father-belicoso,My Father,My Father,0.98,My Father,Fonseca,1,false,9813,15,"My Father My Father:0.98 | My Father Fonseca:0.64 | My Father Fonseca:0.64 | My Father Fonseca:0.64 | My Father Fonseca:0.64",
band-0b13f2a5880e.jpg,auto-match,,,plasencia-cosecha-149,Plasencia,Cosecha 149,0.99,PLASENCIA,COSECHA 149,1,false,9576,15,"Plasencia Cosecha 149:0.99 | Plasencia Cosecha 149:0.99 | Plasencia Cosecha 149:0.99 | Plasencia Cosecha 149:0.99 | Plasencia Cosecha 149:0.99",
